	tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
234725	tt10243474	movie	The Ardbhan Fold	The Ardbhan Fold	0	2020	\N	\N	Documentary,Western
234747	tt10243992	movie	I'm Your Woman	I'm Your Woman	0	2020	\N	\N	Drama
234749	tt10244008	movie	Ghost	Ghost	0	2020	\N	88	Drama
234761	tt10244472	movie	Hullor	Hullor	0	2020	\N	128	Comedy
234781	tt10245450	movie	A Chef's Voyage	A Chef's Voyage	0	2020	\N	90	Documentary
234783	tt10245722	movie	The Collected	The Collector 3	0	2020	\N	\N	Action,Adventure,Crime
234814	tt10247640	movie	The Perfect Mistress IV: Heartbreaker	The Perfect Mistress IV: Heartbreaker	0	2020	\N	\N	Adventure,Comedy,Drama
234818	tt10247750	movie	Ordinary Justice	Palazzo di giustizia	0	2020	\N	84	Drama
234896	tt10250868	movie	Immenhof - Das große Versprechen	Immenhof - Das große Versprechen	0	2020	\N	100	Family
234907	tt10251538	movie	10 jours sans maman	10 jours sans maman	0	2020	\N	104	Comedy
234917	tt10252330	movie	Granny Nanny	Enkel für Anfänger	0	2020	\N	104	Comedy
234918	tt10252406	movie	Sphere of Fear 2	Sphere of Fear 2	0	2020	\N	134	Fantasy
234927	tt10253764	movie	No Acting Allowed	Meeting Olive & Mitchell	0	2020	\N	\N	Comedy,Documentary,Drama
234937	tt10254662	movie	Red Yellow Pink	Red Yellow Pink	0	2020	\N	89	\N
234970	tt10255854	movie	Artist Police	Artist Police	0	2020	\N	77	Biography,Fantasy
234977	tt10256054	movie	Gray Whale and Civillization	Gray Whale and Civillization	0	2020	\N	\N	Documentary
234983	tt10256238	movie	Created Equal: Clarence Thomas in His Own Words	Created Equal: Clarence Thomas in His Own Words	0	2020	\N	116	Documentary
235004	tt10257496	movie	Noni - Le fruit de l'espoir	Noni - Le fruit de l'espoir	0	2020	\N	80	Drama
235006	tt10257672	movie	The Protestants	The Protestants	0	2020	\N	82	Documentary
235049	tt10260466	movie	All for Gods	All for Gods	0	2020	\N	\N	Horror
